Duration (ms),Status Code,Response Body,Timestamp
265,201,Lift ride recorded for skier 68564,10/03/2024 21:11:22
278,201,Lift ride recorded for skier 41606,10/03/2024 21:11:22
287,201,Lift ride recorded for skier 14083,10/03/2024 21:11:22
250,201,Lift ride recorded for skier 85149,10/03/2024 21:11:22
297,201,Lift ride recorded for skier 87682,10/03/2024 21:11:22
343,201,Lift ride recorded for skier 57455,10/03/2024 21:11:22
281,201,Lift ride recorded for skier 51453,10/03/2024 21:11:22
309,201,Lift ride recorded for skier 41567,10/03/2024 21:11:22
229,201,Lift ride recorded for skier 8041,10/03/2024 21:11:22
256,201,Lift ride recorded for skier 90272,10/03/2024 21:11:22
407,201,Lift ride recorded for skier 16816,10/03/2024 21:11:22
351,201,Lift ride recorded for skier 69498,10/03/2024 21:11:22
154,201,Lift ride recorded for skier 61746,10/03/2024 21:11:22
348,201,Lift ride recorded for skier 99053,10/03/2024 21:11:22
341,201,Lift ride recorded for skier 97174,10/03/2024 21:11:22
341,201,Lift ride recorded for skier 28274,10/03/2024 21:11:22
169,201,Lift ride recorded for skier 67369,10/03/2024 21:11:22
364,201,Lift ride recorded for skier 96279,10/03/2024 21:11:22
177,201,Lift ride recorded for skier 57185,10/03/2024 21:11:22
178,201,Lift ride recorded for skier 37770,10/03/2024 21:11:22
384,201,Lift ride recorded for skier 2623,10/03/2024 21:11:22
96,201,Lift ride recorded for skier 87988,10/03/2024 21:11:22
287,201,Lift ride recorded for skier 47224,10/03/2024 21:11:22
103,201,Lift ride recorded for skier 81349,10/03/2024 21:11:22
378,201,Lift ride recorded for skier 61301,10/03/2024 21:11:22
396,201,Lift ride recorded for skier 53705,10/03/2024 21:11:22
331,201,Lift ride recorded for skier 85309,10/03/2024 21:11:22
376,201,Lift ride recorded for skier 14055,10/03/2024 21:11:22
375,201,Lift ride recorded for skier 98377,10/03/2024 21:11:22
87,201,Lift ride recorded for skier 38754,10/03/2024 21:11:22
329,201,Lift ride recorded for skier 18064,10/03/2024 21:11:22
63,201,Lift ride recorded for skier 78576,10/03/2024 21:11:22
80,201,Lift ride recorded for skier 12323,10/03/2024 21:11:22
381,201,Lift ride recorded for skier 3680,10/03/2024 21:11:22
401,201,Lift ride recorded for skier 15263,10/03/2024 21:11:22
399,201,Lift ride recorded for skier 66870,10/03/2024 21:11:22
401,201,Lift ride recorded for skier 70381,10/03/2024 21:11:22
102,201,Lift ride recorded for skier 57660,10/03/2024 21:11:22
107,201,Lift ride recorded for skier 77227,10/03/2024 21:11:22
160,201,Lift ride recorded for skier 6341,10/03/2024 21:11:22
126,201,Lift ride recorded for skier 27513,10/03/2024 21:11:22
86,201,Lift ride recorded for skier 44539,10/03/2024 21:11:23
134,201,Lift ride recorded for skier 91009,10/03/2024 21:11:22
93,201,Lift ride recorded for skier 97768,10/03/2024 21:11:23
93,201,Lift ride recorded for skier 4395,10/03/2024 21:11:23
92,201,Lift ride recorded for skier 84105,10/03/2024 21:11:23
93,201,Lift ride recorded for skier 49236,10/03/2024 21:11:23
152,201,Lift ride recorded for skier 3547,10/03/2024 21:11:22
89,201,Lift ride recorded for skier 94468,10/03/2024 21:11:23
87,201,Lift ride recorded for skier 80551,10/03/2024 21:11:23
83,201,Lift ride recorded for skier 23603,10/03/2024 21:11:23
88,201,Lift ride recorded for skier 97308,10/03/2024 21:11:23
80,201,Lift ride recorded for skier 19854,10/03/2024 21:11:23
89,201,Lift ride recorded for skier 98000,10/03/2024 21:11:23
80,201,Lift ride recorded for skier 14515,10/03/2024 21:11:23
97,201,Lift ride recorded for skier 10543,10/03/2024 21:11:23
88,201,Lift ride recorded for skier 71496,10/03/2024 21:11:23
89,201,Lift ride recorded for skier 80215,10/03/2024 21:11:23
89,201,Lift ride recorded for skier 38338,10/03/2024 21:11:23
96,201,Lift ride recorded for skier 70137,10/03/2024 21:11:23
91,201,Lift ride recorded for skier 99046,10/03/2024 21:11:23
83,201,Lift ride recorded for skier 87662,10/03/2024 21:11:23
96,201,Lift ride recorded for skier 87676,10/03/2024 21:11:23
78,201,Lift ride recorded for skier 59836,10/03/2024 21:11:23
104,201,Lift ride recorded for skier 96543,10/03/2024 21:11:23
102,201,Lift ride recorded for skier 56687,10/03/2024 21:11:23
103,201,Lift ride recorded for skier 106,10/03/2024 21:11:23
82,201,Lift ride recorded for skier 82548,10/03/2024 21:11:23
82,201,Lift ride recorded for skier 21162,10/03/2024 21:11:23
92,201,Lift ride recorded for skier 82516,10/03/2024 21:11:23
98,201,Lift ride recorded for skier 59903,10/03/2024 21:11:23
79,201,Lift ride recorded for skier 49732,10/03/2024 21:11:23
77,201,Lift ride recorded for skier 21642,10/03/2024 21:11:23
83,201,Lift ride recorded for skier 70697,10/03/2024 21:11:23
93,201,Lift ride recorded for skier 29085,10/03/2024 21:11:23
77,201,Lift ride recorded for skier 32126,10/03/2024 21:11:23
82,201,Lift ride recorded for skier 25693,10/03/2024 21:11:23
81,201,Lift ride recorded for skier 22320,10/03/2024 21:11:23
88,201,Lift ride recorded for skier 72340,10/03/2024 21:11:23
81,201,Lift ride recorded for skier 74366,10/03/2024 21:11:23
84,201,Lift ride recorded for skier 86568,10/03/2024 21:11:23
84,201,Lift ride recorded for skier 97345,10/03/2024 21:11:23
81,201,Lift ride recorded for skier 56874,10/03/2024 21:11:23
99,201,Lift ride recorded for skier 6328,10/03/2024 21:11:23
83,201,Lift ride recorded for skier 63991,10/03/2024 21:11:23
93,201,Lift ride recorded for skier 86142,10/03/2024 21:11:23
217,201,Lift ride recorded for skier 35546,10/03/2024 21:11:23
206,201,Lift ride recorded for skier 14052,10/03/2024 21:11:23
219,201,Lift ride recorded for skier 12296,10/03/2024 21:11:23
209,201,Lift ride recorded for skier 85319,10/03/2024 21:11:23
220,201,Lift ride recorded for skier 92336,10/03/2024 21:11:23
199,201,Lift ride recorded for skier 97353,10/03/2024 21:11:23
201,201,Lift ride recorded for skier 33668,10/03/2024 21:11:23
204,201,Lift ride recorded for skier 39554,10/03/2024 21:11:23
226,201,Lift ride recorded for skier 30969,10/03/2024 21:11:23
221,201,Lift ride recorded for skier 30531,10/03/2024 21:11:23
244,201,Lift ride recorded for skier 3973,10/03/2024 21:11:23
229,201,Lift ride recorded for skier 80892,10/03/2024 21:11:23
229,201,Lift ride recorded for skier 92571,10/03/2024 21:11:23
221,201,Lift ride recorded for skier 59458,10/03/2024 21:11:23
230,201,Lift ride recorded for skier 55676,10/03/2024 21:11:23
230,201,Lift ride recorded for skier 59474,10/03/2024 21:11:23
242,201,Lift ride recorded for skier 69724,10/03/2024 21:11:23
230,201,Lift ride recorded for skier 44391,10/03/2024 21:11:23
220,201,Lift ride recorded for skier 44741,10/03/2024 21:11:23
233,201,Lift ride recorded for skier 56983,10/03/2024 21:11:23
233,201,Lift ride recorded for skier 82931,10/03/2024 21:11:23
217,201,Lift ride recorded for skier 90545,10/03/2024 21:11:23
231,201,Lift ride recorded for skier 94099,10/03/2024 21:11:23
204,201,Lift ride recorded for skier 75900,10/03/2024 21:11:23
